#lan,distance,concept1,concept2
236,6.974036693572998,claw,fingernail
124,6.788641929626465,fur,leather
120,4.479564666748047,and,with
110,6.902804374694824,pain,sick
106,6.816299915313721,easy,light
100,4.224839210510254,this,here
96,5.626960754394531,good,beautiful
89,5.94969367980957,clever,wise
89,4.3342790603637695,room,house
86,6.51460075378418,master,host
84,5.693122863769531,near,beside
83,4.946511745452881,stingy,greedy
80,6.522224426269531,catch,trap
77,6.10957145690918,stretch,pull
75,6.846370220184326,good,correct
75,5.29085636138916,we,our
74,5.968400478363037,tie,pull
73,6.225124359130859,land,world
73,4.766749382019043,your,their
71,4.784904956817627,what,who
69,6.61018705368042,earth,country
67,6.79988956451416,voice,language
64,6.799009323120117,study,teach
63,6.733830451965332,count,read
63,6.420101165771484,beard,chin
63,5.4669108390808105,i,my
63,5.281306266784668,ghost,demon
60,6.957798004150391,fire,tree
60,6.83016300201416,big,wide
59,6.719932556152344,dirty,black
55,6.88697624206543,voice,word
55,5.93406867980957,salty,bitter
52,5.474270343780518,granddaughter,niece
51,6.42680025100708,burn,light
51,5.653769016265869,bad,ugly
49,6.85828161239624,breast,nipple
49,6.756515026092529,collar,neck
49,4.973920822143555,take,hold
48,6.680727481842041,flat,smooth
48,6.217501640319824,count,think
48,5.462731838226318,speak,tell
47,4.611632347106934,all,many
47,4.609647274017334,stupid,mad
47,3.245656728744507,how,what
46,6.741889476776123,kiss,suck
46,6.506678581237793,study,read
46,6.2529706954956055,cave,hole
46,6.088531970977783,clear,light
45,6.574820518493652,kettle,pot
45,6.4951653480529785,bitter,sour
44,6.667174816131592,bite,eat
44,5.637980937957764,find,meet
44,4.50130033493042,now,today
42,5.721831798553467,tomorrow,morning
41,6.804714679718018,mountain,stone
41,6.325070858001709,dirty,garbage
41,6.011691093444824,grandmother,grandchild
41,5.969327449798584,big,many
41,5.862298965454102,afterwards,then
41,5.505173683166504,which,who
40,6.142248630523682,count,amount
40,5.508397102355957,love,want
39,6.933584690093994,split,chop
38,6.47311544418335,book,letter
37,5.309786796569824,late,afternoon
35,6.529489994049072,edge,fringe
35,5.021589756011963,they,you
35,4.78518009185791,hear,know
34,6.809338569641113,carry,lead
34,6.561772346496582,call,invite
34,6.277583599090576,kill,strike
34,4.653107643127441,feel,know
34,3.8959577083587646,see,know
33,6.864274501800537,wrong,guilty
33,6.367728233337402,time,season
33,6.111469268798828,defend,preserve
31,6.277106761932373,i,we
31,6.152032852172852,cut,kill
31,5.899165153503418,that,he
31,5.8187642097473145,piss,shit
31,4.714903831481934,find,see
30,6.901613235473633,coconut,water
30,6.779269218444824,feather,fur
30,6.452280521392822,jaw,cheek
30,5.508447647094727,walk,leave
29,6.727427005767822,fast,soon
29,6.227319240570068,grandfather,grandchild
29,6.19438362121582,become,happen
29,5.9572649002075195,country,world
29,3.8151726722717285,cousin,brother
28,6.986064434051514,bow,arch
28,6.742786884307861,small,young
28,6.712179660797119,feather,leaf
28,6.491364002227783,leg,bone
28,6.084850311279297,stove,fireplace
27,6.703028202056885,wing,leaf
27,6.363883018493652,push,refuse
27,6.246145725250244,father-in-law,son-in-law
26,6.962031841278076,wind,cold
26,6.417926788330078,accuse,condemn
26,5.321825981140137,believe,think
25,6.895234107971191,frost,cold
25,6.099871635437012,edge,end
24,6.918965816497803,sink,dive
24,6.810090065002441,dust,fog
24,6.799228668212891,word,book
24,6.742817401885986,measure,count
24,6.674015998840332,daughter-in-law,son-in-law
24,6.4573235511779785,cheap,easy
24,6.413416862487793,cousin,sibling
24,6.355866432189941,high,long
24,5.562160491943359,soul,heart
24,5.022976398468018,wrong,fault
23,6.955130100250244,spit,vomit
23,6.674015998840332,son-in-law,daughter-in-law
23,6.220874786376953,talk,chat
23,5.945779323577881,granddaughter,nephew
23,5.869134902954102,turn,change
23,5.609221935272217,hear,feel
23,4.847526550292969,see,meet
22,6.931637763977051,fish,five
22,5.60666561126709,try,check
22,5.5155110359191895,guess,seem
22,5.20708703994751,cooked,cook
22,4.9489827156066895,my,our
21,6.914668560028076,village,country
21,6.887979030609131,twist,squeeze
21,6.7717437744140625,keep,guard
21,6.674015998840332,daughter-in-law,son-in-law
21,6.59076452255249,good,healthy
21,6.295624256134033,sway,swing
21,6.017467975616455,straight,smooth
21,5.87286901473999,flat,straight
21,5.687072277069092,daughter,woman
21,4.69667387008667,many,enough
21,3.4162232875823975,cousin,sister
20,6.661251544952393,happy,like
20,5.632880210876465,grandson,niece
20,5.415473937988281,fish,meat
19,6.847601413726807,wife,female
19,6.809411525726318,lead,drive
19,6.537526607513428,wrap,fold
19,6.409226417541504,suck,pull
19,6.381274223327637,teach,read
19,6.176366806030273,emerge,visible
19,6.168379306793213,early,three
19,5.9514851570129395,bake,fry
19,5.832354545593262,only,alone
19,4.4899749755859375,uncle,brother
18,6.713415145874023,carry,get
18,6.58367395401001,light,burning
18,6.582635879516602,bury,hide
18,6.560220718383789,inside,at
18,6.389934062957764,behind,afterwards
18,6.365566730499268,late,slow
18,6.0469512939453125,similar,seem
18,5.761940956115723,belt,strap
18,4.89905309677124,give,put
17,6.942048072814941,feather,wool
17,6.92302131652832,ground,country
17,6.918076992034912,summit,tip
17,6.629645347595215,wing,arm
17,6.370009899139404,salty,sour
17,6.098389625549316,jump,dance
17,6.063185691833496,correct,yes
17,5.13918399810791,want,like
16,6.928004264831543,grief,anxiety
16,6.907279014587402,copper,iron
16,6.876267433166504,accuse,convict
16,6.748810768127441,pull,lead
16,6.705077171325684,weak,lazy
16,6.662938594818115,walk,come
16,6.074089527130127,roll,wrap
16,6.039525032043457,keep,own
16,5.609264850616455,steal,hide
16,5.241747856140137,mother-in-law,daughter-in-law
16,4.794074058532715,our,your
16,4.375595569610596,aunt,sister
15,6.954756259918213,wheat,barley
15,6.926305294036865,grief,regret
15,6.825342178344727,clean,good
15,6.802502155303955,cold,fresh
15,6.674015998840332,son-in-law,daughter-in-law
15,6.659627437591553,prisoner,prison
15,6.445568561553955,forest,grass
15,6.420492172241211,drink,smoke
15,6.331984043121338,many,full
15,6.269353866577148,want,ask
15,6.246145725250244,father-in-law,son-in-law
15,6.159830093383789,grandmother,mother-in-law
15,6.107903957366943,big,fat
15,6.040660381317139,head,end
15,5.8115057945251465,fight,kill
15,5.78745698928833,thief,steal
15,5.282433032989502,late,after
15,5.265900611877441,again,and
14,6.938862323760986,clean,white
14,6.9084391593933105,flow,walk
14,6.719289779663086,cloak,coat
14,6.652946472167969,mother,your
14,6.6319966316223145,rule,command
14,6.602935791015625,rule,lead
14,6.409051895141602,edge,top
14,6.399246692657471,play,dance
14,6.394771099090576,help,rescue
14,6.384448528289795,carry,buy
14,6.246145725250244,father-in-law,son-in-law
14,6.20734977722168,far,that
14,6.108982563018799,lift,take
14,6.097961902618408,knock,beat
14,5.950466632843018,dirty,ugly
14,5.931768417358398,grandfather,father-in-law
14,5.579743385314941,scabies,ringworm
14,5.291772842407227,feel,understand
14,5.282956123352051,explain,say
14,5.241747856140137,mother-in-law,daughter-in-law
14,5.241747856140137,daughter-in-law,mother-in-law
14,4.9716973304748535,hear,think
14,4.656179428100586,father-in-law,mother-in-law
14,4.376605033874512,where,which
14,4.270521640777588,because,if
13,6.9557600021362305,rise,stand
13,6.922600269317627,blood,meat
13,6.898797988891602,say,language
13,6.895234107971191,frost,cold
13,6.855969429016113,towel,rag
13,6.774576187133789,ask,listen
13,6.716115951538086,lift,build
13,6.662613391876221,enter,set
13,6.6287007331848145,give,do
13,6.588371753692627,feel,smell
13,6.5482330322265625,neck,bone
13,6.53503942489624,go,ride
13,6.4797163009643555,person,husband
13,6.434886932373047,top,end
13,6.42041015625,feel,learn
13,6.394437789916992,banyan,fig
13,6.18826961517334,cotton,thread
13,6.181331157684326,weak,tired
13,6.107903957366943,big,fat
13,6.104111671447754,last,behind
13,5.965519905090332,whale,shark
13,5.636984825134277,look,old
13,5.597322940826416,certain,correct
13,5.387430191040039,daughter-in-law,father-in-law
13,5.306286334991455,aunt,mother
13,5.29085636138916,we,our
13,5.137392520904541,how,which
12,6.991353988647461,price,wages
12,6.976414680480957,mud,swamp
12,6.889931678771973,line,thread
12,6.8629069328308105,relatives,brother
12,6.797924041748047,relatives,sibling
12,6.7894206047058105,fruit,meat
12,6.770064353942871,cloud,storm
12,6.759189128875732,ash,white
12,6.716559886932373,end,fringe
12,6.7029290199279785,groan,shriek
12,6.689903736114502,master,teacher
12,6.622894763946533,mother-in-law,son-in-law
12,6.60548734664917,take,mouth
12,6.597111225128174,thing,tool
12,6.521368980407715,refuse,forbid
12,6.42637300491333,rule,own
12,6.409151077270508,twist,wrap
12,6.380987644195557,river,sea
12,6.246145725250244,son-in-law,father-in-law
12,6.194849967956543,call,ask
12,6.170312404632568,name,one
12,6.145903587341309,leave,drive
12,6.119328498840332,stone,hill
12,6.070872783660889,big,old
12,6.010412216186523,shoot,pull
12,5.931768417358398,father-in-law,grandfather
12,5.885448455810547,get,own
12,5.276660919189453,black,green
12,5.241747856140137,mother-in-law,daughter-in-law
12,4.965924263000488,yellow,white
12,4.7492218017578125,blue,black
12,4.714410305023193,explain,tell
12,3.979388952255249,how,where
11,6.869945049285889,say,burn
11,6.848696708679199,taste,hear
11,6.834697723388672,this,he
11,6.741511344909668,destroy,damage
11,6.4681925773620605,high,big
11,6.454622745513916,have,in
11,6.436010360717773,board,floor
11,6.278725624084473,bruise,scar
11,6.159830093383789,grandmother,mother-in-law
11,5.945539951324463,straight,good
11,5.927318572998047,answer,promise
11,5.701746940612793,give,hear
11,5.609221935272217,hear,feel
11,5.52138090133667,pay,sell
11,4.836184501647949,now,soon
11,4.764716625213623,bring,give
11,4.339713096618652,our,their
11,4.337756633758545,now,this
11,4.069286823272705,my,your
10,6.970246315002441,know,study
10,6.954631328582764,yam,yes
10,6.931393146514893,early,immediately
10,6.918929100036621,inside,stomach
10,6.890669822692871,mother,female
10,6.859447956085205,dark,blind
10,6.779850482940674,shoot,strike
10,6.7734856605529785,tool,weapons
10,6.767345905303955,weigh,count
10,6.716038703918457,envy,doubt
10,6.690850257873535,father,father-in-law
10,6.6222243309021,sick,body
10,6.588091850280762,stick,tree
10,6.545038223266602,shake,swing
10,6.544033050537109,country,area
10,6.443819999694824,rub,wash
10,6.430805683135986,short,few
10,6.377707481384277,suck,eat
10,6.277106761932373,i,we
10,6.21461820602417,fingernail,nail
10,6.142383575439453,hold,get
10,6.040384769439697,shine,light
10,5.927353382110596,copper,steel
10,5.916496753692627,get,meet
10,5.9036946296691895,forest,mountain
10,5.877512454986572,give,my
10,5.83693790435791,push,squeeze
10,5.597496032714844,day,world
10,5.47625207901001,bright,yellow
10,5.450325012207031,where,from
10,5.414145469665527,good,sweet
10,5.389247894287109,yesterday,year
10,5.374922752380371,tired,lazy
10,5.29085636138916,our,we
10,5.137197017669678,jump,run
10,4.836082935333252,what,yes
10,4.656179428100586,father-in-law,mother-in-law
10,4.6308979988098145,get,see
9,6.96835994720459,razor,knife
9,6.9477219581604,pus,rotten
9,6.937028884887695,leaf,cut
9,6.905419826507568,suck,squeeze
9,6.832408905029297,father-in-law,uncle
9,6.826481342315674,pull,tear
9,6.812124729156494,stupid,mute
9,6.8048834800720215,swim,splash
9,6.7590484619140625,host,husband
9,6.7577691078186035,fault,guilty
9,6.745800495147705,house,five
9,6.696847438812256,relatives,sister
9,6.6960248947143555,mountain,island
9,6.632286071777344,give,drink
9,6.602200984954834,jaguar,puma
9,6.572843074798584,relatives,cousin
9,6.49739933013916,dark,dirty
9,6.394622802734375,ground,area
9,6.359957695007324,separate,choose
9,6.306044101715088,claw,hoof
9,6.282480716705322,wet,cold
9,6.230181694030762,fire,hell
9,6.1405181884765625,feel,listen
9,6.064970016479492,weak,sick
9,5.8807597160339355,straight,stupid
9,5.86752986907959,old,before
9,5.857517719268799,front,before
9,5.69038724899292,kick,push
9,5.637507438659668,more,again
9,5.42919921875,explain,speak
9,5.302704811096191,thing,some
9,5.166055202484131,dolphin,shark
9,5.102133750915527,blue,grey
9,4.870815753936768,grandmother,mother
9,4.849704265594482,hear,see
9,4.557281494140625,grandmother,aunt
8,6.98279333114624,hour,season
8,6.973480224609375,explain,announce
8,6.958128929138184,mother,mother-in-law
8,6.943995952606201,mouth,yes
8,6.934054374694824,hit,pound
8,6.926859378814697,send,drive
8,6.884298801422119,old,former
8,6.851663112640381,bamboo,flute
8,6.773242473602295,jug,cup
8,6.750010013580322,voice,speech
8,6.741885662078857,long,bed
8,6.737204551696777,sky,world
8,6.733060359954834,bright,clean
8,6.6978020668029785,tie,kill
8,6.690850257873535,father-in-law,father
8,6.676663875579834,club,post
8,6.665777683258057,sit,be
8,6.638904571533203,broken,split
8,6.622894763946533,mother-in-law,son-in-law
8,6.587686061859131,cold,mad
8,6.586641788482666,splash,dive
8,6.548486709594727,enough,crowd
8,6.546805381774902,head,tip
8,6.53655481338501,new,green
8,6.531283855438232,we,three
8,6.506106376647949,near,year
8,6.464269161224365,cattle,sheep
8,6.44507360458374,hold,buy
8,6.434613227844238,fall,go
8,6.425861358642578,year,winter
8,6.403526782989502,say,promise
8,6.371055603027344,hunt,catch
8,6.325463771820068,tell,preach
8,6.318938732147217,bottom,end
8,6.313262462615967,hate,refuse
8,6.3020172119140625,taste,feel
8,6.275063514709473,shake,mix
8,6.241678714752197,tie,wrap
8,6.179281711578369,pimple,ulcer
8,6.1022868156433105,at,with
8,6.070872783660889,big,old
8,6.048096656799316,daughter,boy
8,6.039146423339844,give,i
8,6.033724784851074,what,their
8,5.976995944976807,year,six
8,5.968758583068848,all,until
8,5.86752986907959,old,before
8,5.837854862213135,season,year
8,5.781870365142822,know,admit
8,5.748188018798828,cheek,chin
8,5.629851341247559,elbow,wrist
8,5.186296463012695,who,person
8,4.977765083312988,true,yes
8,4.656179428100586,mother-in-law,father-in-law
7,6.980091571807861,rule,drive
7,6.96835994720459,razor,knife
7,6.95975923538208,claw,finger
7,6.931004524230957,eagle,stone
7,6.855014324188232,sky,top
7,6.839823246002197,light,world
7,6.776576995849609,big,mother
7,6.724792003631592,catch,scratch
7,6.686399459838867,boat,raft
7,6.672423362731934,carry,send
7,6.668224811553955,burn,shine
7,6.667789459228516,nut,fruit
7,6.657260417938232,six,child
7,6.650404453277588,twist,braid
7,6.622036457061768,again,in
7,6.60816764831543,mouth,mother
7,6.580926895141602,take,borrow
7,6.545038223266602,shake,swing
7,6.503492832183838,flower,red
7,6.488407135009766,canoe,raft
7,6.456053256988525,defend,forbid
7,6.452079772949219,send,order
7,6.446681022644043,fire,red
7,6.436391353607178,call,read
7,6.4310197830200195,grass,leaf
7,6.4135966300964355,leave,disappear
7,6.379636287689209,mind,spirit
7,6.374305248260498,eat,there
7,6.320706844329834,nephew,child
7,6.2777791023254395,leg,neck
7,6.242225170135498,have,learn
7,6.2052788734436035,carry,drive
7,6.1437273025512695,pay,wages
7,6.099871635437012,edge,end
7,6.088679790496826,teach,preach
7,6.08396053314209,midday,afternoon
7,6.069703102111816,inside,bottom
7,6.0450029373168945,kill,stab
7,5.9039459228515625,finger,arm
7,5.874119758605957,take,choose
7,5.855316638946533,lick,suck
7,5.836177825927734,go,last
7,5.827591896057129,break,split
7,5.764277458190918,town,home
7,5.742539405822754,new,good
7,5.6912946701049805,know,kill
7,5.684597969055176,look,check
7,5.663506031036377,count,guess
7,5.647073268890381,all,whole
7,5.499897480010986,some,one
7,5.499776363372803,last,late
7,5.460725784301758,see,understand
7,5.41943359375,love,good
7,5.418583393096924,late,night
7,5.357361793518066,stepfather,father-in-law
7,5.279906272888184,beat,play
7,5.273795127868652,girl,baby
7,5.255001544952393,few,one
7,5.251015663146973,see,we
7,5.209469318389893,if,yes
7,5.096455097198486,thing,work
7,4.867767333984375,grandson,grandfather
7,4.7030348777771,that,she
7,4.686824798583984,again,still
7,4.634734630584717,because,what
7,4.366304874420166,this,there
7,4.273714542388916,brother,friend
7,4.223766803741455,you,that
6,6.9947662353515625,weigh,scales
6,6.987977504730225,braid,hair
6,6.948686122894287,clever,know
6,6.936208724975586,deep,black
6,6.902270793914795,claw,hand
6,6.892916202545166,side,ditch
6,6.890669822692871,mother,female
6,6.8887553215026855,cover,close
6,6.844456195831299,eye,green
6,6.843529224395752,vegetables,grass
6,6.841179847717285,house,in
6,6.834516525268555,bean,pea
6,6.789644241333008,place,husband
6,6.770306587219238,pair,twins
6,6.752540588378906,leave,ride
6,6.749072074890137,leave,retreat
6,6.747811794281006,aunt,mother-in-law
6,6.746912002563477,jaw,mouth
6,6.732989311218262,jog,swing
6,6.71798849105835,time,sun
6,6.7122039794921875,wash,house
6,6.709913730621338,give,eye
6,6.698840141296387,climb,crawl
6,6.688586711883545,market,sunday
6,6.685982704162598,carry,hear
6,6.683975696563721,summer,warm
6,6.677679061889648,season,day
6,6.648935317993164,burn,fill
6,6.64345121383667,stand,last
6,6.640703201293945,burn,shoot
6,6.639565944671631,voice,say
6,6.638063907623291,push,grind
6,6.631913661956787,take,marry
6,6.622894763946533,mother-in-law,son-in-law
6,6.6088032722473145,fruit,harvest
6,6.6059722900390625,promise,bless
6,6.578451156616211,sink,drown
6,6.557636737823486,pig,tail
6,6.548254013061523,fight,shoot
6,6.536068916320801,master,own
6,6.520308494567871,roll,fold
6,6.512275218963623,sick,listen
6,6.506596565246582,in,with
6,6.505092144012451,explain,preach
6,6.4999566078186035,leave,separate
6,6.484216690063477,low,small
6,6.484111785888672,close,fill
6,6.463860034942627,pipe,pot
6,6.452547550201416,new,white
6,6.4452409744262695,shoot,stab
6,6.428310394287109,deaf,mute
6,6.417672157287598,remain,become
6,6.417442321777344,believe,admit
6,6.388462066650391,shelf,table
6,6.374477863311768,small,some
6,6.365597248077393,between,gap
6,6.360287189483643,put,cook
6,6.342825889587402,mind,meaning
6,6.316498279571533,give,marry
6,6.276083946228027,speak,preach
6,6.26558256149292,blood,water
6,6.237186908721924,middle,gap
6,6.230062484741211,pay,answer
6,6.221767902374268,see,house
6,6.21188497543335,stepmother,mother-in-law
6,6.21188497543335,mother-in-law,stepmother
6,6.198875427246094,grief,pity
6,6.185462951660156,carry,pull
6,6.169384956359863,grow,become
6,6.162744045257568,come,give
6,6.1350884437561035,rub,squeeze
6,6.130128860473633,change,answer
6,6.116785049438477,more,often
6,6.11602258682251,see,seem
6,6.090601921081543,our,yes
6,6.023615837097168,wash,wipe
6,6.020448207855225,springtime,autumn
6,6.017761707305908,blow,shoot
6,6.001143455505371,lung,liver
6,5.987366676330566,big,more
6,5.971504211425781,say,i
6,5.926884651184082,mistake,blame
6,5.923866271972656,thing,word
6,5.91585111618042,carry,give
6,5.911699295043945,place,time
6,5.856301784515381,ready,good
6,5.830874919891357,here,at
6,5.791308879852295,shirt,skirt
6,5.785374164581299,mason,carpenter
6,5.72723913192749,parents,relatives
6,5.662328720092773,speak,answer
6,5.636435031890869,hole,inside
6,5.626784801483154,behind,outside
6,5.624485015869141,my,their
6,5.543613910675049,teach,tell
6,5.528167724609375,two,with
6,5.505530834197998,new,now
6,5.473604679107666,give,yes
6,5.439040184020996,immediately,suddenly
6,5.387430191040039,father-in-law,daughter-in-law
6,5.360162734985352,many,not
6,5.357361793518066,father-in-law,stepfather
6,5.26500940322876,and,where
6,5.135210037231445,other,next
6,5.067699909210205,move,leave
6,5.053009510040283,grandfather,father
6,4.999253273010254,more,enough
6,4.984649181365967,give,say
6,4.850444316864014,bad,sick
6,4.766749382019043,your,their
6,4.656179428100586,father-in-law,mother-in-law
6,4.142117500305176,last,after
6,4.0983781814575195,few,two
6,4.069286823272705,my,your
6,3.8019938468933105,tell,talk
6,2.7664246559143066,know,think
5,6.999207973480225,hold,build
5,6.998813152313232,your,child
5,6.979904651641846,surprised,fear
5,6.9718828201293945,uncle,sibling
5,6.964030742645264,forbid,prevent
5,6.962809085845947,shout,word
5,6.961684226989746,short,round
5,6.958128929138184,mother-in-law,mother
5,6.958128929138184,mother,mother-in-law
5,6.946879863739014,push,wipe
5,6.942259311676025,horn,pull
5,6.930743217468262,house,eat
5,6.930323123931885,eat,smoke
5,6.919514179229736,cry,vomit
5,6.908638000488281,fire,not
5,6.907130718231201,rain,day
5,6.905682563781738,side,rib
5,6.898029804229736,aunt,sibling
5,6.8979692459106445,clothes,skirt
5,6.894769668579102,car,cart
5,6.875367164611816,flame,red
5,6.873553276062012,hear,ask
5,6.862449645996094,grandson,descendants
5,6.858031749725342,share,steal
5,6.847720623016357,give,honey
5,6.842027187347412,put,fold
5,6.832408905029297,uncle,father-in-law
5,6.830564975738525,want,do
5,6.821457386016846,wind,winter
5,6.820246696472168,show,seem
5,6.8114142417907715,want,speak
5,6.8012847900390625,take,fell
5,6.783425331115723,bad,damage
5,6.771324157714844,fish,mother
5,6.770513534545898,plain,smooth
5,6.727705478668213,plain,place
5,6.71189022064209,weave,cut
5,6.690153121948242,six,fir
5,6.6875457763671875,push,urge
5,6.6810808181762695,lift,weigh
5,6.679512023925781,relatives,friend
5,6.675140857696533,round,lead
5,6.664592266082764,village,island
5,6.6419878005981445,rotten,cabbage
5,6.64111852645874,small,thin
5,6.637749195098877,slow,quiet
5,6.626558303833008,few,owe
5,6.623705863952637,walk,cut
5,6.623030185699463,temples,temple
5,6.613120079040527,write,drop
5,6.6014404296875,sword,scythe
5,6.588371753692627,smell,feel
5,6.587544918060303,see,eat
5,6.576552867889404,push,wing
5,6.5714287757873535,get,choose
5,6.5699992179870605,wrong,miss
5,6.551196098327637,hour,hit
5,6.548854827880859,few,young
5,6.5389838218688965,who,head
5,6.529730319976807,bone,stick
5,6.513576030731201,blame,strange
5,6.511496067047119,kill,hide
5,6.492486000061035,room,family
5,6.492473602294922,bay,port
5,6.492220878601074,ghost,old
5,6.486392498016357,vegetables,cabbage
5,6.48592472076416,claw,fork
5,6.4801249504089355,corpse,flesh
5,6.477960109710693,head,roof
5,6.477248191833496,hear,name
5,6.467774391174316,edge,beside
5,6.463573455810547,outside,up
5,6.451589107513428,come,yes
5,6.442574501037598,beard,hair
5,6.430281162261963,hold,rule
5,6.423309326171875,old,husband
5,6.411098957061768,mother,this
5,6.409054756164551,pull,kill
5,6.40426778793335,piss,kill
5,6.396557807922363,stepfather,father
5,6.377987384796143,come,say
5,6.37091588973999,see,cut
5,6.370304107666016,story,message
5,6.3702287673950195,move,change
5,6.367738723754883,throw,know
5,6.366774559020996,right,eat
5,6.345279216766357,wine,beverage
5,6.327025890350342,enemy,battle
5,6.319339275360107,grass,cut
5,6.313236713409424,sit,eat
5,6.270130634307861,pull,steal
5,6.222693920135498,where,back
5,6.217724323272705,path,journey
5,6.204368591308594,corpse,ghost
5,6.183835029602051,i,be
5,6.16337251663208,cost,cut
5,6.130290508270264,become,own
5,6.125767230987549,bottom,down
5,6.113417148590088,hold,fight
5,6.088531970977783,light,clear
5,6.063911437988281,old,not
5,6.058063507080078,cut,break
5,5.959192752838135,grandfather,uncle
5,5.9003729820251465,corner,end
5,5.8298797607421875,flower,colorful
5,5.810678482055664,hunt,kill
5,5.802772045135498,my,yes
